Parcela,Subparcela,Transecto,NA,Nombre_Vulgar,Especie,Dn,Gi,observaciones
1,1,1,1,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,6","0,00882",
1,1,1,2,Coya,Trichilia oligofoliolata M.E. Morales,"10,02","0,00789",
1,1,1,3,Capote,Machaerium capote Dugand,"28,7","0,06469",
1,1,1,5,Coya,Trichilia oligofoliolata M.E. Morales,"11,15","0,00976",
1,1,1,8,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,05","0,00959",
1,2,1,9,Coya,Trichilia oligofoliolata M.E. Morales,"19,5","0,02986",
1,2,1,10,Coya,Trichilia oligofoliolata M.E. Morales,"13,82","0,01500",
1,2,1,11,Coya,Trichilia oligofoliolata M.E. Morales,"16,18","0,02056",
1,2,1,12,Coya,Trichilia oligofoliolata M.E. Morales,17,"0,02270",
1,2,1,13,Coya,Trichilia oligofoliolata M.E. Morales,"28,3","0,06290",
1,2,1,18,Coya,Trichilia oligofoliolata M.E. Morales,"26,4","0,05474",
1,2,1,21,Coya,Trichilia oligofoliolata M.E. Morales,"17,8","0,02488",
1,3,1,22,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"15,8","0,01961",
1,3,1,27,Coya,Trichilia oligofoliolata M.E. Morales,"13,4","0,01410",
1,3,1,29,Coya,Trichilia oligofoliolata M.E. Morales,"16,65","0,02177",
1,3,1,32,Patevaca,Coccoloba acuminata Kunth,"11,7","0,01075",
1,3,1,44,Coya,Trichilia oligofoliolata M.E. Morales,"20,1","0,03173",
1,4,1,35,Coya,Trichilia oligofoliolata M.E. Morales,"17,8","0,02488",
1,4,1,36,Diomate,Astronium graveolens Jacq.,"26,85","0,05662",
1,4,1,39,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,4,1,40,Huesito,Casearia praecox Griseb.,"12,15","0,01159",
1,4,1,44,Coya,Trichilia oligofoliolata M.E. Morales,"12,9","0,01307",
1,4,1,45,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,6","0,01057",
1,4,1,46,Coya,Trichilia oligofoliolata M.E. Morales,"15,28","0,01834",
1,4,1,46,Patevaca,Coccoloba acuminata Kunth,"10,2","0,00817",
1,4,1,47,Patevaca,Coccoloba acuminata Kunth,"15,9","0,01986",
1,4,1,49,Coya,Trichilia oligofoliolata M.E. Morales,"12,2","0,01169",
1,4,1,51,Coya,Trichilia oligofoliolata M.E. Morales,"16,4","0,02112",
1,4,1,51,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,4,1,56,Coya,Trichilia oligofoliolata M.E. Morales,"10,1","0,00801",
1,4,1,57,Coya,Trichilia oligofoliolata M.E. Morales,"17,9","0,02516",
1,5,1,54,Coya,Trichilia oligofoliolata M.E. Morales,"11,2","0,00985",
1,5,1,57,Coya,Trichilia oligofoliolata M.E. Morales,"10,6","0,00882",
1,5,1,58,Coya,Trichilia oligofoliolata M.E. Morales,"11,5","0,01039",
1,5,1,59,Patevaca,Coccoloba acuminata Kunth,"10,1","0,00801",
1,5,1,59,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,75","0,00908",
1,5,1,60,Coya,Trichilia oligofoliolata M.E. Morales,"13,8","0,01496",
1,5,1,61,Coya,Trichilia oligofoliolata M.E. Morales,"16,1","0,02036",
1,5,1,61,Coya,Trichilia oligofoliolata M.E. Morales,"10,3","0,00833",
1,5,1,62,Capote,Machaerium capote Dugand,"23,9","0,04486",
1,5,1,64,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,5,1,65,Bao,Crateva tapia L.,28,"0,06158",
1,5,1,65,Capote,Machaerium capote Dugand,"12,2","0,01169",
1,5,1,66,Coya,Trichilia oligofoliolata M.E. Morales,"14,05","0,01550",
1,5,1,67,Capote,Machaerium capote Dugand,21,"0,03464",
1,5,1,68,Manteco,Schaefferia frutescens Jacq.,"14,6","0,01674",
1,5,1,70,Coya,Trichilia oligofoliolata M.E. Morales,10,"0,00785",
1,5,1,71,Huesito,Casearia praecox Griseb.,"14,5","0,01651",
1,5,1,72,Manteco,Schaefferia frutescens Jacq.,"10,25","0,00825",
1,5,1,73,Huesito,Casearia praecox Griseb.,"17,35","0,02364",
1,5,1,74,Indio pelao,Bursera simaruba (L). Sarg,"23,69","0,04408",
1,5,1,76,Cumulá,Aspidosperma polyneuron Müll. Arg.,"12,7","0,01267",
1,5,1,77,Coya,Trichilia oligofoliolata M.E. Morales,"11,5","0,01039",
1,5,1,78,Coya,Trichilia oligofoliolata M.E. Morales,"10,8","0,00916",
1,5,1,79,Rubiaceae,Chomelia sp.,"13,9","0,01517",colectada
1,1,2,1,Coya,Trichilia oligofoliolata M.E. Morales,"21,75","0,03715",
1,1,2,5,Garrapato,Trichilia pallida Sw.,"16,9","0,02243",
1,1,2,7,Coya,Trichilia oligofoliolata M.E. Morales,"22,4","0,03941",
1,1,2,8,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"17,65","0,02447",
1,1,2,10,Coya,Trichilia oligofoliolata M.E. Morales,"11,3","0,01003",
1,1,2,11,Coya,Trichilia oligofoliolata M.E. Morales,"20,3","0,03237",
1,1,2,12,Coya,Trichilia oligofoliolata M.E. Morales,"26,25","0,05412",
1,2,2,15,Coya,Trichilia oligofoliolata M.E. Morales,"16,12","0,02041",
1,2,2,16,Coya,Trichilia oligofoliolata M.E. Morales,"25,8","0,05228",
1,2,2,18,Coya,Trichilia oligofoliolata M.E. Morales,"13,5","0,01431",
1,2,2,19,Patevaca,Coccoloba acuminata Kunth,"10,1","0,00801",
1,2,2,20,Coya,Trichilia oligofoliolata M.E. Morales,"24,4","0,04676",
1,2,2,22,Patevaca,Coccoloba acuminata Kunth,"10,2","0,00817",
1,3,2,28,Coya,Trichilia oligofoliolata M.E. Morales,"13,6","0,01453",
1,3,2,29,Coya,Trichilia oligofoliolata M.E. Morales,"27,8","0,06070",
1,3,2,32,Varasanta,Triplaris americana L.,"19,9","0,03110",
1,3,2,33,Coya,Trichilia oligofoliolata M.E. Morales,18,"0,02545",
1,3,2,35,Diomate,Astronium graveolens Jacq.,"54,7","0,23500",
1,3,2,37,Coya,Trichilia oligofoliolata M.E. Morales,20,"0,03142",
1,3,2,40,Indio pelao,Bursera simaruba (L). Sarg,"28,6","0,06424",
1,3,2,42,Diomate,Astronium graveolens Jacq.,25,"0,04909",
1,1,3,3,Coya,Trichilia oligofoliolata M.E. Morales,"21,7","0,03698",
1,1,3,6,Patevaca,Coccoloba acuminata Kunth,"16,1","0,02036",
1,1,3,9,Coya,Trichilia oligofoliolata M.E. Morales,"19,1","0,02865",
1,1,3,10,Coya,Trichilia oligofoliolata M.E. Morales,"14,8","0,01720",
1,1,3,13,Coya,Trichilia oligofoliolata M.E. Morales,"21,7","0,03698",
1,2,3,14,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,02","0,00954",
1,2,3,16,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,1","0,00801",
1,2,3,19,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"12,8","0,01287",
1,2,3,22,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"12,2","0,01169",
1,3,3,23,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,3,3,27,Diomate,Astronium graveolens Jacq.,"34,25","0,09213",
1,3,3,28,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,10,"0,00785",
1,3,3,30,Coya,Trichilia oligofoliolata M.E. Morales,"10,6","0,00882",
1,3,3,31,Coya,Trichilia oligofoliolata M.E. Morales,"20,15","0,03189",
1,3,3,32,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,4","0,01021",
1,4,3,36,Patevaca,Coccoloba acuminata Kunth,"17,95","0,02531",
1,4,3,39,Coya,Trichilia oligofoliolata M.E. Morales,"10,3","0,00833",
1,4,3,42,Coya,Trichilia oligofoliolata M.E. Morales,"12,65","0,01257",
1,4,3,44,Coya,Trichilia oligofoliolata M.E. Morales,"13,1","0,01348",
1,4,3,48,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,9","0,00933",
1,4,3,50,Coya,Trichilia oligofoliolata M.E. Morales,"12,72","0,01271",
1,5,3,51,Coya,Trichilia oligofoliolata M.E. Morales,"13,55","0,01442",
1,5,3,53,Coya,Trichilia oligofoliolata M.E. Morales,"16,68","0,02185",
1,5,3,56,Coya,Trichilia oligofoliolata M.E. Morales,"14,15","0,01573",
1,5,3,57,Coya,Trichilia oligofoliolata M.E. Morales,"15,1","0,01791",
1,5,3,59,Coya,Trichilia oligofoliolata M.E. Morales,"17,4","0,02378",
1,5,3,64,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,68","0,01071",
1,1,4,1,Coya,Trichilia oligofoliolata M.E. Morales,"18,8","0,02776",
1,1,4,2,Diomate,Astronium graveolens Jacq.,"42,6","0,14253",
1,1,4,6,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,4","0,01021",
1,1,4,9,Coya,Trichilia oligofoliolata M.E. Morales,"14,65","0,01686",
1,1,4,10,Patevaca,Coccoloba acuminata Kunth,16,"0,02011",
1,1,4,11,Coya,Trichilia oligofoliolata M.E. Morales,"18,35","0,02645",
1,1,4,12,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,55","0,01048",
1,1,4,15,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"16,5","0,02138",
1,2,4,20,Rubiaceae,Chomelia sp.,"11,3","0,01003",
1,2,4,24,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,1","0,00801",
1,2,4,25,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"11,15","0,00976",
1,2,4,29,Coya,Trichilia oligofoliolata M.E. Morales,"22,4","0,03941",
1,3,4,37,Coya,Trichilia oligofoliolata M.E. Morales,"15,35","0,01851",
1,3,4,38,Coya,Trichilia oligofoliolata M.E. Morales,"16,28","0,02082",
1,3,4,42,Coya,Trichilia oligofoliolata M.E. Morales,"22,2","0,03871",
1,3,4,46,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,15","0,00809",
1,3,4,48,Coya,Trichilia oligofoliolata M.E. Morales,"14,85","0,01732",
1,3,4,53,Diomate,Astronium graveolens Jacq.,"31,5","0,07793",
1,3,4,55,Coya,Trichilia oligofoliolata M.E. Morales,"10,35","0,00841",
1,3,4,56,Coya,Trichilia oligofoliolata M.E. Morales,"16,85","0,02230",
1,4,4,60,Nn3,Cynophalla flexuosa (L.) J.Presl,"15,35","0,01851",
1,4,4,61,coya,Trichilia oligofoliolata M.E. Morales,"15,7","0,01936",
1,4,4,64,Patevaca,Coccoloba acuminata Kunth,"21,88","0,03760",
1,4,4,67,Coya,Trichilia oligofoliolata M.E. Morales,"15,7","0,01936",
1,4,4,74,Indio pelao,Bursera simaruba (L). Sarg,"40,9","0,13138",
1,4,4,76,Coya,Trichilia oligofoliolata M.E. Morales,"10,9","0,00933",
1,5,4,78,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,5,4,79,Ceiba,Ceiba pentandra (L.) Gaertn,"100,5","0,79327",
1,5,4,88,Bao,Crateva tapia L.,"13,75","0,01485",
1,5,4,89,Coya,Trichilia oligofoliolata M.E. Morales,11,"0,00950",
1,5,4,90,Coya,Trichilia oligofoliolata M.E. Morales,"14,7","0,01697",
1,1,5,7,Coya,Trichilia oligofoliolata M.E. Morales,"17,55","0,02419",
1,1,5,9,Patevaca,Coccoloba acuminata Kunth,"13,7","0,01474",
1,1,5,11,Coya,Trichilia oligofoliolata M.E. Morales,21,"0,03464",
1,1,5,14,Coya,Trichilia oligofoliolata M.E. Morales,"11,15","0,00976",
1,1,5,15,Nn5,Ind. Fam. gen. 20,"19,7","0,03048",
1,1,5,16,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,6","0,00882",
1,2,5,22,Coya,Trichilia oligofoliolata M.E. Morales,"19,8","0,03079",
1,2,5,25,Coya,Trichilia oligofoliolata M.E. Morales,"26,4","0,05474",
1,2,5,26,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"10,5","0,00866",
1,2,5,27,Yayo,Oxandra espintana (Spruce ex Benth.) Baill.,"12,53","0,01233",
1,2,5,32,Coya,Trichilia oligofoliolata M.E. Morales,"25,5","0,05107",
1,3,5,35,Coya,Trichilia oligofoliolata M.E. Morales,"25,55","0,05127",
1,3,5,37,Coya,Trichilia oligofoliolata M.E. Morales,"18,5","0,02688",
1,3,5,38,Coya,Trichilia oligofoliolata M.E. Morales,"13,5","0,01431",
1,3,5,41,Coya,Trichilia oligofoliolata M.E. Morales,"18,1","0,02573",
1,4,5,44,Coya,Trichilia oligofoliolata M.E. Morales,"14,6","0,01674",
1,4,5,46,Coya,Trichilia oligofoliolata M.E. Morales,"11,8","0,01094",
1,4,5,47,Coya,Trichilia oligofoliolata M.E. Morales,"21,2","0,03530",
1,4,5,56,Huesito,Casearia praecox Griseb.,"16,35","0,02100",
1,4,5,57,Indio pelao,Bursera simaruba (L). Sarg,"38,8","0,11824",
1,4,5,60,Manteco,Schaefferia frutescens Jacq.,"21,2","0,03530",
1,4,5,61,Huesito,Casearia praecox Griseb.,"11,85","0,01103",
1,5,5,65,Coya,Trichilia oligofoliolata M.E. Morales,"14,5","0,01651",
1,5,5,66,Guayabo,Chomelia sp.,"12,3","0,01188",
1,5,5,78,Coya,Trichilia oligofoliolata M.E. Morales,"10,2","0,00817",
1,5,5,79,Coya,Trichilia oligofoliolata M.E. Morales,"13,2","0,01368",
1,5,5,80,Coya,Trichilia oligofoliolata M.E. Morales,"13,7","0,01474",
1,5,5,83,Coya,Trichilia oligofoliolata M.E. Morales,13,"0,01327",
1,5,5,84,Bao,Crateva tapia L.,"18,5","0,02688",
1,5,5,85,Coya,Trichilia oligofoliolata M.E. Morales,"10,4","0,00849",